Company_Name,Skills they are looking for,Number of positions
10xbiz,"['coding' 'erp' 'html' 'javascript' 'jquery' 'json' 'prototype'
 'software developer trainee']",1
24-7 intouch,"['bpo' 'issue resolution' 'it skills' 'management' 'project management'
 'quality standards' 'staff development']",1
2a edtech,"['btech' 'cse' 'documentation' 'english writing' 'information technology'
 'technical documentation' 'technical writing' 'writing skills']",1
4onlinemedia,"[list(['communication', 'analytical', 'it infrastructure', 'information technology'])
 list(['information technology', 'analytical', 'communication', 'it infrastructure'])
 list(['troubleshooting', 'it management', 'it infrastructure', 'it projects', 'information technology'])]",3
a l b enterprises (india) private limited,"['agile' 'ajax' 'bootstrap' 'coding' 'debugging' 'development' 'html'
 'information technology' 'javascript' 'mvc' 'object oriented programming'
 'svn' 'tfs' 'unit testing' 'web development']",2
aarna hr solutions pvt. ltd.,"['algorithms' 'computer science engineering' 'cv' 'data structures' 'java'
 'linux' 'object oriented design' 'software development']",1
abacus staffing and services pvt ltd.,"['bde' 'communication' 'communication skills' 'database building'
 'information technology' 'new business' 'senior management']",1
accelatis,"['application support' 'backup' 'database administration'
 'disaster recovery' 'laptop' 'load balancing' 'networking'
 'vpn endpoint troubleshooting']",1
accelq software solutions india private limited,"['agile testing' 'automation testing' 'it skills' 'java' 'oop'
 'qa automation testing' 'software development' 'testing']",1
accenture,"['abap' 'abap dev' 'abap programming' 'abap ricefw' 'agile' 'analytical'
 'ansible' 'apache' 'apo' 'artificial intelligence' 'automation' 'aws'
 'bi strategy' 'bidding' 'bpo' 'business process' 'bw4hana' 'c'
 'cassandra' 'cds' 'change management' 'cloud' 'coding' 'communication'
 'computer science' 'conflict management' 'conflict resolution'
 'consulting' 'content management' 'd365' 'data cleansing'
 'data conversion' 'data governance' 'data migration' 'data science'
 'database' 'dba' 'deployment' 'design validation' 'dynamics crm'
 'employee engagement' 'enablon software platform'
 'enterprise application integration' 'enx manager3' 'erp' 'fi' 'finacle'
 'fiori' 'fixed assets' 'functional testing' 'gap analysis' 'hana' 'hr'
 'hr support' 'ibm transformation'
 'ibm websphere application server application'
 'ibm websphere application server application deployment'
 'ibm websphere transformation'
 'ibm websphere transformation extender wtx' 'idm' 'idocs'
 'information technology' 'it skills' 'itsm' 'java' 'javascript' 'jvm'
 'ldap' 'linux' 'machine learning' 'management'
 'manager quality assurance' 'manager technology' 'mariadb'
 'microsoft dynamics crm' 'mm' 'monitoring tools' 'ms dynamics ax'
 'ms dynamics d365' 'ms office suite' 'networking' 'nosql' 'oracle'
 'oracle pl / sql' 'oracle procedural language' 'performance analysis'
 'performance engineering' 'performance management' 'perl' 'plsql'
 'process efficiency' 'process improvement' 'procurement'
 'professional services' 'project management' 'python' 'quality assurance'
 'rca' 'regression testing' 'remediation' 'rest' 'rpa' 's4 hana'
 'saltstack' 'sap' 'sap abap' 'sap basis' 'sap basis administration'
 'sap bw' 'sap co' 'sap database' 'sap ecc' 'sap fiori administration'
 'sap hana' 'sap mm' 'sap mm po' 'sap nw gateway' 'sap pi' 'sap pm'
 'sap ps' 'sap s / 4hana' 'scheduling' 'scylla' 'sd' 'sdi integration'
 'security compliance' 'service desk' 'service desk management'
 'service now' 'servicenow it service management' 'soap'
 'software development' 'sql' 'supervisor' 'system testing'
 'tax reporting' 'team management' 'tech arch' 'terraform' 'testing'
 'training' 'troubleshooting' 'ui actions' 'variant configuration'
 'vendor' 'waterfall' 'web services' 'written' 'xml']",34
